Terminal,Wdg0Turn0Std0Cond,Wdg1Turn0Std0Cond
Wdg0Turn0Std0Cond,2.585399272520e-06,5.402522846200e-07
Wdg1Turn0Std0Cond,5.402522846192e-07,4.664617019682e-06
