Terminal,Wdg0Turn0Std0Cond,Wdg1Turn0Std0Cond
Wdg0Turn0Std0Cond,2.615398221644e-03,2.589456237424e-10
Wdg1Turn0Std0Cond,2.589448518363e-10,4.323642143082e-03
